;100m;200m;400m;800m;1500m;5000m;10000m;SemiMarathon;Marathon
Australie;9,93;20,02;44,38;103,79;209,41;775,76;1629,57;3597;7582
Belgique;10,02;20,13;44,15;102,43;210,99;769,71;1612,3;3591;7416
Bresil;9,96;19,89;44,29;101,77;213,25;766,59;1648,12;3573;7491
RoyaumeUni;9,83;19,73;43,44;101,73;207,79;780,41;1606,46;3547;7511
Canada;9,84;19,62;44,44;101,2;211,71;767,2;1594,14;3600;7536
Chine;9,83;19,88;45,14;106,32;216,49;805,14;1688;3753;7695
Croatie;10,2;20,67;45,64;104,07;213,3;817,76;1704,32;3827;8225
Ethiopie;10,61;21,3;45,42;102,37;209,91;757,35;1577,53;3450;7301
France;9,86;19,8;44,46;101,61;208,98;771,59;1618,67;3553;7427
Allemagne;9,99;20,02;44,33;103,65;211,58;774,7;1641,53;3571;7496
Inde;10,23;20,52;45,21;105,65;215,24;799,3;1682,89;3600;7920
Iran;10,03;20,63;45,4;104,74;216,92;830,08;1762,65;3918;8234
Italie;9,8;19,72;44,75;103,74;210,74;782,26;1630,76;3566;7566
Jamaique;9,58;19,19;43,93;105,02;219,19;800,39;1686,4;4150;8199
Japon;9,95;20,03;44,77;104,8;215,42;788,4;1629,8;3567;7496
Kenya;9,77;20,14;44,18;100,91;206,34;759,74;1587,85;3452;7235
Lituanie;10,14;20,48;45,73;106,58;217,38;797,9;1651,5;3829;7955
Norvege;9,99;19,89;44,39;102,58;207,14;768,45;1644,78;3588;7548
NouvelleZelande;10,08;20,37;45,88;104,04;209,66;790,19;1650,9;3587;7699
Perou;10,28;20,58;45,3;107,01;214,67;803,2;1673,58;3726;7658
Portugal;9,86;20,01;44,79;104,91;210,07;782,86;1632,47;3580;7596
Russie;10,1;20,23;44,6;102,47;212,28;791,99;1673,12;3643;7747
AfriqueduSud;9,84;19,69;43,03;102,69;211,93;784,88;1649,94;3576;7593
Espagne;10,06;20,04;44,69;102,04;208,76;765,01;1609,49;3579;7548
Senegal;10,17;20,21;45,01;104,06;218,88;869,7;1815,17;4008;8701
Suede;10,08;20,3;44,56;103,13;212;770,94;1612,87;3563;7656
Suisse;10,08;19,98;44,99;102,55;211,75;770,87;1637,29;3553;7480
Thailande;10,19;20,37;46;108,48;223,53;822,75;1637,14;3965;8216
Ukraine;10,07;20;45,01;105,08;210,33;790,78;1679,8;3640;7635
USA;9,69;19,31;43,18;101,67;207,4;766,96;1593,84;3557;7538
