Lieu;Pays;Annee;Competition;Distance;Type;Classe;Sexe;Arme;Position;Phase;Rank;Groups;Name;Npc;Serie_1;Serie_2;Serie_3;Serie_4;Serie_5;Serie_6;Serie_7;Serie_8;Serie_9;Serie_10;Serie_11;Serie_12;Total
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Qualification;1;;VADOVICOVA Veronika;SVK;99;99;100;97;93;93;;;;;;;581 - 22x
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Qualification;2;;HELSINGER Lotta;SWE;98;96;96;97;94;91;;;;;;;572 - 22x
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Qualification;3;;SMITH Natalie;AUS;95;93;99;99;92;91;;;;;;;569 - 22x
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Qualification;4;;HILTROP Natascha;GER;95;97;99;98;88;90;;;;;;;567 - 26x
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Qualification;5;;LAMBERT Lorraine;GBR;88;96;97;98;88;91;;;;;;;558 - 12x
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Qualification;6;;DEMENTYEVA Svetlana;RUS;94;95;99;98;83;83;;;;;;;552 - 13x
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Qualification;7;;BUTLER Karen;GBR;95;97;95;97;78;88;;;;;;;550 - 16x
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Qualification;8;;SAENLAR Chutima;THA;92;93;92;95;85;92;;;;;;;549 - 11x
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Qualification;9;;BALDWIN Lesley;GBR;87;93;95;94;80;88;;;;;;;537 - 8x
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Qualification;10;;KEATJARATKUL Wasana;THA;83;82;96;93;91;88;;;;;;;533 - 11x
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Qualification;11;;BROGLE Sabine;GER;85;86;93;88;95;84;;;;;;;531 - 13x
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Qualification;12;;RYABCHENKO Tatiana;RUS;92;89;96;98;71;79;;;;;;;525 - 9x
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Finale;1;;SMITH Natalie;AUS;147.9;301;46.9;51.5;9.7;9.5;10.5;10;10.9;;;;450
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Finale;2;;VADOVICOVA Veronika;SVK;148.8;301.7;48;49.1;9.6;9.7;10.3;9.8;10.3;;;;448.5
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Finale;3;;LAMBERT Lorraine;GBR;147.7;300.2;48.5;48;9.1;9.5;10;9.5;;;;;434.8
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Finale;4;;BUTLER Karen;GBR;150;302.3;40.2;47.5;7.3;8.7;10.4;;;;;;416.4
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Finale;5;;HILTROP Natascha;GER;142.2;295.2;45.3;46.4;9.5;8.8;;;;;;;405.2
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Finale;6;;SAENLAR Chutima;THA;140;294;44.2;43.4;9;;;;;;;;390.6
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Finale;7;;HELSINGER Lotta;SWE;139.5;286.9;44.5;46.6;;;;;;;;;378
Al Ain;UAE;2016;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Finale;8;;DEMENTYEVA Svetlana;RUS;139.7;289.5;43.7;44.6;;;;;;;;;377.8
Al Ain;UAE;2017;Coupe du Monde;50m;R8;SH1;Femme;Carabine;3 positions;Qualification;1;;VADOVICOVA Veronika;SVK;97;95;99;99;95;90;;;;;;;575 - 25x
