Date,Distance,Durée,Perception,Commentaires,Training load,Jour
2022-09-02T07:30:00Z,1200,30,8,Swim & Run,240,vendredi
2022-09-03T08:00:00Z,3000,60,5,Aéro,300,samedi
2022-09-05T08:30:00Z,2000,40,3,Flush,120,lundi
2022-09-06T08:00:00Z,3000,60,6,Aéro P/P,360,mardi
2022-09-07T11:30:00Z,1500,30,2,Nage en mer,60,mercredi
2022-09-08T07:30:00Z,2000,45,7,Swim & Run,315,jeudi
2022-09-09T08:00:00Z,3000,60,5,Aéro P/P et sprint jambes,300,vendredi
2022-09-12T08:00:00Z,3000,55,3,Aéro (petit bain),165,lundi
2022-09-13T07:45:00Z,2000,40,2,Nage en mer palmes,80,mardi
2022-09-14T08:00:00Z,4000,80,4,Aéro P/P - Jbs,320,mercredi
2022-09-15T08:45:00Z,2000,45,2,Flush hypo,90,jeudi
2022-09-16T08:00:00Z,3500,75,5,Overkick / aéro,375,vendredi
2022-09-17T08:00:00Z,3000,60,4,Aéro P/P,240,samedi
2022-09-19T08:00:00Z,4200,90,5,Aéro Pull,450,lundi
2022-09-20T08:10:00Z,3400,90,8,Jambes / minimax / lactique,720,mardi
2022-09-23T08:00:00Z,1500,40,2,Début aéro,80,vendredi
2022-09-26T07:30:00Z,5000,115,3,Aéro basse + hypoxie,345,lundi
2022-09-28T07:30:00Z,4000,90,4,Test Olbrecht,360,mercredi
2022-09-30T08:30:00Z,1000,75,5,Start,375,vendredi
2022-09-29T10:30:00Z,1000,75,4,Sprint,300,jeudi
2022-10-03T08:00:00Z,3500,75,3,Aéro,225,lundi
2022-10-04T07:35:00Z,3500,100,8,Lactique,800,mardi
2022-10-05T08:00:00Z,4500,90,6,Aéro capacité,540,mercredi
2022-10-07T07:30:00Z,3200,80,7,ANC,560,vendredi
2022-10-10T08:00:00Z,4000,85,3,Aéro basse & Jambes (25),255,lundi
2022-10-11T07:30:00Z,3500,95,7,ANC,665,mardi
2022-10-13T08:00:00Z,4500,90,3,Aéro basse et jambes,270,jeudi
2022-10-14T08:05:00Z,3500,80,9,ANC,720,vendredi
2022-10-15T08:40:00Z,4000,80,3,Aéro,240,samedi
2022-10-17T07:50:00Z,4000,90,3,Aéro + Jambes,270,lundi
2022-10-18T08:00:00Z,3500,80,3,Skills and sprints,240,mardi
2022-10-19T08:10:00Z,3500,60,2,Aéro basse Skills & Skulls,120,mercredi
2022-10-20T11:00:00Z,2000,45,3,Flush et activation jambes,135,jeudi
2022-10-21T09:00:00Z,2500,60,5,Échauffement + Course + recup,300,vendredi
2022-10-22T08:30:00Z,3000,90,7,Échauffement + courses + récup,630,samedi
2022-10-23T08:10:00Z,2500,60,5,Échauffement + course + récup,300,dimanche
2022-10-27T07:30:00Z,4300,105,5,AEC2,525,jeudi
2022-10-28T07:30:00Z,3000,60,5,Aéro basse,300,vendredi
2022-10-29T08:30:00Z,2700,60,6,ANC,360,samedi
2022-10-31T10:00:00Z,3600,75,4,Aéro + touch vitesse jambes,300,lundi
2022-11-02T08:30:00Z,3100,60,4,Skill sprint et recup,240,mercredi
2022-11-03T10:45:00Z,800,20,2,Prépa compet,40,jeudi
2022-11-04T10:30:00Z,1500,60,6,Échauffement + course + récup,360,vendredi
2022-11-07T08:30:00Z,3000,65,5,Aéro et jambes,325,lundi
2022-11-08T08:05:00Z,3800,85,5,AEC1 + technique pap,425,mardi
2022-11-08T08:05:00Z,2800,60,4,Aéro + technique,240,mardi
2022-11-14T08:00:00Z,4500,90,6,Aéro + (4n et crawl),540,lundi
2022-11-15T08:05:00Z,4500,95,8,AEC2,760,mardi
2022-11-16T08:30:00Z,3500,80,5,Test Olbrecht,400,mercredi
2022-11-23T08:15:00Z,3600,75,5,Aéro + technique,375,mercredi
2022-11-25T07:55:00Z,3000,80,8,Endurance de vitesse AEC2,640,vendredi
2022-11-26T08:30:00Z,2500,60,5,🦍,300,samedi
2022-11-28T08:25:00Z,4000,115,4,Test Olbrecht,460,lundi
2022-11-30T07:55:00Z,3200,60,3,Aéro technique,180,mercredi
2022-11-29T08:45:00Z,2200,60,6,🦍,360,mardi
2022-12-03T11:00:00Z,2100,45,4,Aéro + jambes,180,samedi
2022-12-04T10:30:00Z,1500,40,2,Flush + 2 sprints,80,dimanche
2022-12-05T08:30:00Z,2000,60,4,Aéro + DPC + 3 sprint en combi,240,lundi
2022-12-07T09:45:00Z,2000,40,2,Flush / aéro et prises de relais,80,mercredi
2022-12-08T10:00:00Z,1200,30,2,Technique,60,jeudi
2022-12-09T09:30:00Z,1000,25,2,Aéro flush + starts,50,vendredi
2022-12-11T10:45:00Z,1000,45,4,Stinger,180,dimanche
2022-12-13T11:25:00Z,2000,75,7,Course x2,525,mardi
2022-12-15T11:40:00Z,600,15,2,Placement crawl,30,jeudi
2022-12-16T11:30:00Z,2100,70,7,Courses x2,490,vendredi
2022-12-17T11:00:00Z,1200,45,3,Course,135,samedi
2023-01-04T10:05:00Z,4000,80,5,AEC 3,400,mercredi
2023-01-05T08:05:00Z,4000,70,4,Aéro basse + jambes,280,jeudi
2023-01-06T07:40:00Z,3500,90,4,Test Olbrecht,360,vendredi
2023-01-07T08:35:00Z,3200,70,3,AEC1,210,samedi
2023-01-09T11:00:00Z,3500,75,4,AEC1,300,lundi
2023-01-10T11:05:00Z,3000,75,6,DPC / ANC,450,mardi
2023-01-16T09:20:00Z,1000,20,4,Légère aéro,80,lundi
2023-01-17T11:00:00Z,2700,60,5,Aéro + DPC,300,mardi
2023-01-19T09:20:00Z,1000,15,2,Flush + technique,30,jeudi
2023-01-21T11:20:00Z,1000,15,1,Flush,15,samedi
2023-01-23T08:35:00Z,2500,60,5,Aéro mix + educ + vitesse,300,lundi
2023-01-24T08:35:00Z,2500,55,5,Aéro + DPC,275,mardi
2023-01-26T09:15:00Z,1000,15,2,Flush + hypo educ,30,jeudi
2023-01-30T09:15:00Z,1000,20,2,Reprise semaine,40,lundi
2023-02-02T07:40:00Z,2800,70,6,DPC,420,jeudi
2023-02-06T08:15:00Z,2600,55,4,Aéro,220,lundi
2023-02-07T08:50:00Z,2400,50,6,Aéro +,300,mardi
2023-02-08T12:00:00Z,1500,25,2,Flush,50,mercredi
2023-02-09T08:30:00Z,3000,50,4,Aéro,200,jeudi
2023-02-10T11:50:00Z,1000,20,1,Flush,20,vendredi
2023-02-11T09:15:00Z,3000,60,5,Aéro,300,samedi
2023-02-13T09:05:00Z,1200,20,3,Wake up swim,60,lundi
2023-02-14T08:50:00Z,2800,70,6,DPC,420,mardi
