Rate: 50 Hz
      Fx,        Fy,        Fz,        Mx,        My,        Mz
       N,         N,         N,       N-m,       N-m,       N-m
 0.00000,  0.00000,  0.00000,  0.29720,  0.37201,  0.22004
 0.00017, -0.00035, -0.36899, -0.00087,  0.81815,  0.18855
 0.00017, -0.00035, -0.36899, -0.00087,  0.81815,  0.15712
-0.00033,  0.00070,  0.73798,  0.00174,  0.59598,  0.22014
 0.00000,  0.00000,  0.00000, -0.29720,  0.74402,  0.18861
-0.00033,  0.00070,  0.73798,  0.29890,  0.67041,  0.25157
 0.00017, -0.00035, -0.36899,  0.07343,  0.44609,  0.15712
 0.00050, -0.00106, -1.10699,  0.14599,  0.51984,  0.21988
-0.00050,  0.00106,  1.10699, -0.07170,  0.59631,  0.12589
 0.00000,  0.00000,  0.00000,  0.00000,  0.59525,  0.18861
 0.00033, -0.00070, -0.73798, -0.37325,  0.74335,  0.06276
 0.00000,  0.00000,  0.00000,  0.22290,  1.11609,  0.09430
 0.00000,  0.00000,  0.00000,  0.14860,  0.74402,  0.18861
-0.00033,  0.00070,  0.73798, -0.14687,  0.89362,  0.18871
-0.00050,  0.00106,  1.10699, -0.07170,  0.81955,  0.12589
 0.00099, -0.00211, -2.21399, -0.07951,  0.22116,  0.09399
-0.00017,  0.00035,  0.36899,  0.00087,  1.04205,  0.22009
-0.00017,  0.00035,  0.36899, -0.37064,  0.89325,  0.25153
 0.00033, -0.00070, -0.73798, -0.15034,  0.44574,  0.15707
 0.00033, -0.00070, -0.73798,  0.29546,  0.52017,  0.12563
 0.00033, -0.00070, -0.73798, -0.37325,  0.29694,  0.18849
-0.00066,  0.00141,  1.47595,  0.00347,  0.74548,  0.18881
-0.00033,  0.00070,  0.73798,  0.07603,  0.89362,  0.18871
-0.00083,  0.00176,  1.84491, -0.14426,  0.67142,  0.12600
 0.00000,  0.00000,  0.00000,  0.22290,  0.37201,  0.09430
 0.00050, -0.00106, -1.10699,  0.14599,  0.59424,  0.12557
 0.00033, -0.00070, -0.73798, -0.22464,  0.52017,  0.09420
 0.00033, -0.00070, -0.73798,  0.07256,  0.81778,  0.12563
 0.00033, -0.00070, -0.73798, -0.07604,  0.52017,  0.12563
-0.00017,  0.00035,  0.36899, -0.14774,  0.22357,  0.09435
-0.00083,  0.00176,  1.84491, -0.06996,  0.89462,  0.12600
-0.00050,  0.00106,  1.10699,  0.07690,  0.29866,  0.12589
 0.00083, -0.00176, -1.84491,  0.06995,  0.51917,  0.12547
 0.00000,  0.00000,  0.00000,  0.22290,  1.11609,  0.18861
 0.00066, -0.00141, -1.47595,  0.07082,  0.81708,  0.25127
-0.00033,  0.00070,  0.73798,  0.07603,  0.81921,  0.09441
 0.00050, -0.00106, -1.10699, -0.00261,  0.51984,  0.18845
 0.00000,  0.00000,  0.00000,  0.29720,  0.89282,  0.00000
-0.00066,  0.00141,  1.47595,  0.44925,  0.67108,  0.28313
 0.00000,  0.00000,  0.00000,  0.14860,  1.33923,  0.12573
 0.00000,  0.00000,  0.00000,  0.07430,  0.89282,  0.06287
-0.00066,  0.00141,  1.47595,  0.22636,  0.74548,  0.25168
 0.00050, -0.00106, -1.10699,  0.22028,  0.44540,  0.21988
 0.00050, -0.00106, -1.10699, -0.07691,  0.59424,  0.06271
 0.00000,  0.00000,  0.00000, -0.07430,  0.89282,  0.25146
-0.00083,  0.00176,  1.84491, -0.06996,  0.29935,  0.18887
 0.00017, -0.00035, -0.36899, -0.00087,  0.52054,  0.21998
 0.00033, -0.00070, -0.73798,  0.29546,  0.52017,  0.09420
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
 0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
