Rate: 50 Hz
      Fx,        Fy,        Fz,        Mx,        My,        Mz
       N,         N,         N,       N-m,       N-m,       N-m
 1.94476,  0.44141, 556.62500,  0.49786, 109.81250,  6.01221
 1.87518,  0.44463, 560.71875,  0.20587, 106.53125,  4.18823
 1.83575,  0.44742, 572.53125,  0.21670, 104.97266,  2.62402
 1.72400,  0.45476, 590.65625,  0.39128, 100.50781,  1.48065
 1.51263,  0.48262, 626.78125,  0.58127, 91.75781,  1.39130
 1.28857,  0.50394, 626.46875,  0.43120, 81.97266,  0.25716
 1.06006,  0.50912, 606.93750,  0.65753, 71.07031, -0.85336
 0.77957,  0.52200, 590.03125,  0.18578, 58.22461, -1.75879
 0.48656,  0.53387, 588.06250,  0.55338, 45.20703, -2.91064
 0.12729,  0.61395, 651.43750,  0.66449, 31.52637, -4.53223
-0.27368,  0.68008, 721.34375,  1.49927, 12.70166, -5.46021
-0.64456,  0.63672, 683.46875,  1.18604, -6.62109, -5.25098
-0.94125,  0.61966, 681.81250,  1.69647, -19.18945, -4.74268
-1.06586,  0.62839, 691.31250,  1.65002, -24.45703, -4.72803
-1.07288,  0.61865, 680.59375,  1.46997, -25.13574, -5.25244
-1.04498,  0.59064, 658.09375,  1.59381, -24.67871, -6.26050
-0.99573,  0.53244, 600.90625,  1.65295, -23.98145, -6.39380
-0.98822,  0.52081, 580.21875,  1.07251, -24.29688, -6.47192
-0.75708,  0.59216, 651.65625,  1.86731, -12.56982, -6.67651
-0.31361,  0.69504, 737.18750,  1.46265, 11.37695, -13.53418
 0.11195,  0.69754, 749.18750,  1.28906, 34.36523, -24.31836
 0.43369,  0.65887, 725.68750,  0.94534, 48.52344, -23.91016
 0.77887,  0.59195, 677.84375,  0.57159, 62.22266, -21.07715
 0.96393,  0.49881, 586.68750,  0.70200, 66.17969, -15.50244
 1.01935,  0.38159, 474.37500,  0.18033, 63.40820, -9.58350
 0.98608,  0.28236, 378.03125,  0.29221, 57.69531, -5.76855
 0.88678,  0.24017, 321.57813,  0.17600, 50.97070, -3.81628
 0.75635,  0.24017, 311.98438,  0.23776, 45.02539, -3.09155
 0.54630,  0.31104, 347.07813,  0.20531, 37.98438, -3.09045
 0.13554,  0.43915, 471.68750,  0.76355, 25.37598, -0.84644
-0.16453,  0.55530, 596.28125,  1.21228, 13.42773,  3.87012
-0.34325,  0.62546, 663.34375,  0.92667,  6.63916,  8.12256
-0.45242,  0.64291, 690.28125,  1.35114,  2.24231,  9.43213
-0.46870,  0.66266, 702.78125,  0.85953,  1.65936, 10.73438
-0.48204,  0.66998, 710.56250,  1.17578,  1.44348, 11.31543
-0.52194,  0.67108, 720.50000,  1.49780,  0.11287, 11.56445
-0.54047,  0.67349, 723.09375,  1.20612, -0.70346, 11.98340
-0.53357,  0.66489, 713.84375,  1.25854, -0.86118, 12.25879
-0.51813,  0.64566, 693.15625,  1.73016, -0.73260, 12.25879
-0.49965,  0.62262, 668.43750,  1.16266, -1.02411, 12.56934
-0.49541,  0.59894, 642.96875,  1.10138, -2.08850, 12.62842
-0.47720,  0.57693, 619.31250,  1.34210, -2.25867, 12.21680
-0.46848,  0.55804, 599.06250,  1.14447, -2.35168, 11.69092
-0.44765,  0.54120, 580.93750,  0.95203, -2.29346, 11.25732
-0.42107,  0.52472, 563.28125,  1.05835, -1.63977, 11.05420
-0.38612,  0.52768, 559.59375,  0.90018, -0.52673, 11.67920
-0.17648,  0.54977, 590.37500,  0.97482, 12.37939, 24.50293
 0.30975,  0.57626, 626.75000,  1.06378, 38.89063, 37.32227
 1.43622,  0.53079, 679.25000,  0.77408, 91.17969, -6.75146
 2.04260,  0.50873, 670.75000,  0.36446, 118.63281,  6.63525
 3.82349,  0.55804, 899.12500, -0.10521, 211.41406, 26.70117
 4.14575,  0.42017, 812.21875,  0.29619, 222.40625, 13.33936
 4.04224,  0.31848, 710.21875, -0.13221, 214.28125, -2.76477
 4.05762,  0.26582, 679.90625,  0.01061, 214.24219, -8.56934
 4.10205,  0.26770, 684.71875, -0.13542, 216.57031, -5.07666
 4.01318,  0.27275, 677.71875,  0.00961, 211.96875,  0.91022
 3.89758,  0.27351, 660.78125, -0.02487, 205.43750,  1.81799
 3.71313,  0.25854, 624.59375, -0.10508, 195.81250,  0.23490
 3.54688,  0.25287, 594.31250, -0.25815, 186.62500, -0.68536
 3.43237,  0.24471, 575.15625, -0.48222, 180.60156, -0.24357
 3.36438,  0.24078, 565.90625, -0.11626, 177.14063,  0.54788
 3.32166,  0.23544, 553.34375, -0.33910, 174.73438, -0.33556
 3.35156,  0.22939, 554.09375, -0.33853, 176.17969, -2.23499
